カード名,商品コード,レアリティ,還元pt,カード画像URL,ローカル画像パス
プレミアムチャンピオンパック EX×M×BREAK BOX 1BOX,PK-0070,その他,278000.0,https://drive.google.com/file/d/1g35vpKNbYMM4AnPbi-9AecbTkF_7cZ2y/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_53625.webp
めざめる超王 1BOX,PK-0071,その他,278000.0,https://drive.google.com/file/d/1BcJNVo60vawrJ0IwEmKgT0XqF3ls0R2x/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_07167.webp
ロケット団の栄光 10BOX,PK-0072,その他,273800.0,https://drive.google.com/file/d/1b0iMH7o9GBYz_KOSY0uP8g84jY7vHahq/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_00072.webp
ロケット団の栄光12BOX,PK-0073,その他,273800.0,https://drive.google.com/file/d/1nI-78-aI9VDZmMfPOGAJDyKsOtfRGqtp/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_09965.webp
ガイアボルケーノ 1BOX,PK-0074,その他,268000.0,https://drive.google.com/file/d/1l8mPWp4wjCjX4qUbUZbIqbPSkaYYi7bB/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_07497.jpg
「ポケモンカード151」10BOX,PK-0075,その他,268000.0,https://drive.google.com/file/d/1pLgZH3_rrUMXIAvhwd54nV1lGKGyGlGG/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_00075.webp
こわいおねえさん,PK-0076,SR,268000.0,https://drive.google.com/file/d/18JkwJkWIOF2lz9F7VoZRis5uVGTbP4hP/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/こわいおねえさん.jpg
ピカチュウEX,PK-0077,SR,258000.0,https://drive.google.com/file/d/1GCbS8xLQLR8apG5Ie8d-RfJRyOdtKNhm/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/ピカチュウ.jpg
ミュウツーGX PSA10,PK-0078,プロモカード,258000.0,https://drive.google.com/file/d/1Jrt4Or_EkuxzjvMFfTNvehzV25Hg2-lL/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_03191.webp
青い衝撃 1BOX,PK-0079,その他,250000.0,https://drive.google.com/file/d/1nwwG7rYu1791WAuH9mhF8zpjaVc05LpQ/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_01456.webp
かんこうきゃく PSA10,PK-0080,その他,248000.0,https://drive.google.com/file/d/1iRyO9XKKSv7dkPUyV-Tm4SXOqUOUZnZ4/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/かんこうきゃく_1.jpg
マリオピカチュウ PSA10,PK-0081,プロモカード,248000.0,https://drive.google.com/file/d/1kZwAb0n6n2evHJWx9KhGiFtxDPm_zUbt/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/マリオピカチュウ.jpg
フウロ PSA10,PK-0082,SR,248000.0,https://drive.google.com/file/d/1GwlQhZqzJ2V36_ADd3OzqPDKaS_lbvTF/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_01378.webp
スペシャルBOX『リーリエ＆コスモッグ』,PK-0083,その他,239800.0,https://drive.google.com/file/d/1FehSX52ApNwxX4DJMXKqMkrjWWvdLXpU/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_00833.webp
ルチア,PK-0084,SR,228000.0,https://drive.google.com/file/d/1BUgb1OjbFH6Hn69iR3JVybtKIWXwF0Rb/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_01728.webp
イーブイ（ムンク）PSA10,PK-0085,その他,228000.0,https://drive.google.com/file/d/1HVjTfSi2ZhDvGQrZxdvUy2V-hjxiiIWc/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_45876.webp
リザードンGX PSA10,PK-0086,その他,228000.0,https://drive.google.com/file/d/15YyNC7QpW8XtqUsMMCIzVHC2JrZf6Lfa/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_48040.jpg
ルザミーネ PSA10,PK-0087,SR,228000.0,https://drive.google.com/file/d/1aoFWWuq-o4vf6t3cDEACIiKAO_6soMjm/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_00087.webp
エリカのおもてなし PSA10,PK-0088,その他,218000.0,https://drive.google.com/file/d/1AnuVvaDKHZNJOSHmDFheoBXFuqV1oiAu/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/エリカのおもてなし_1.jpg
イーブイヒーローズ イーブイズセット 1BOX,PK-0089,その他,218000.0,https://drive.google.com/file/d/1W5FTYa9pf1UGVZaT921UG3QPIP1oQ26p/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_08953.webp
タッグボルト 1BOX,PK-0090,その他,218000.0,https://drive.google.com/file/d/1_3WD8cQ4arOmtrlj_NGP7J-0_ZUST7yy/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_00090.webp
ゲンガーEX PSA10,PK-0091,その他,218000.0,https://drive.google.com/file/d/1klJE5FEn38ZjZnbWO_vjr1H1KeAc4AOW/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_00569.webp
ピカチュウ(ポケキュン) PSA10,PK-0092,RR,218000.0,https://drive.google.com/file/d/192yW5JzBCh2mxt_BaNChbRPpHH4DtItp/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_09248.jpg
リザードンV PSA10,PK-0093,プロモカード,218000.0,https://drive.google.com/file/d/1cAlba44zoFwmHs9ta2MJlsRxUZgtduz5/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/リザードン_10.jpg
ミュウツーGX PSA10,PK-0094,その他,218000.0,https://drive.google.com/file/d/1Vabtp-kwns9yCiqL4soE5qLrskQV6qdK/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_10990.webp
裂空のカリスマ 1BOX,PK-0095,その他,218000.0,https://drive.google.com/file/d/1Avhtppt1mnyZ32Mn8BeKDFrHx7-GQU-7/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_09539.jpg
ひかる伝説 1BOX,PK-0096,その他,218000.0,https://drive.google.com/file/d/1bYF5FYUXtrBtbrCPWX-bQyyRwlQyOMLU/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_00096.webp
水炎ハーフデッキ 1パック,PK-0097,その他,218000.0,https://drive.google.com/file/d/14vqtnhmQCIAhtTrrEye-EcYRbaP2HApN/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_00093.webp
リザードンEX(未開封),PK-0098,プロモカード,218000.0,https://drive.google.com/file/d/1vWeDuRNoRlZ2EtJ5Od5YKDzjfx35wDIR/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_09830.jpg
ファイヤー&サンダー&フリーザーGX PSA10,PK-0099,その他,208000.0,https://drive.google.com/file/d/1xk5nm6rbmKXWiki8ftjQncUyPLRu-cGn/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_00099.webp
ニンフィアGX PSA10,PK-0100,その他,208000.0,https://drive.google.com/file/d/1Z3oVk9Rnl4HpCsMGbIGm-OoSE__rAam7/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_02104.webp
ヨコハマBOX,PK-0101,その他,208000.0,https://drive.google.com/file/d/17DZ-ny0Y3fSFlI074InBeByAHfbaKe9_/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_10126.jpg
コイキングごっこピカチュウ,PK-0102,プロモカード,198000.0,https://drive.google.com/file/d/1jnALtAZ4Fujnx595UE6ZhCfXrAv8hCcj/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/団ごっこピカチュウ.jpg
ルイージピカチュウ PSA10,PK-0103,プロモカード,198000.0,https://drive.google.com/file/d/1zl2bcB_kjwNjduOpdqBEqreHSSB2vGk-/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/renamed_sample/ルイージピカチュウ_1.jpg
スイレン PSA10,PK-0104,SR,198000.0,https://drive.google.com/file/d/12JiC0LvFgKeZEExuDHHFJuJ-KMAJcmBc/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_10402.webp
超次元の暴獣 1BOX,PK-0105,その他,198000.0,https://drive.google.com/file/d/13dN93jhJM33rImifmVLzamh70hECWOCA/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_00105.webp
冷酷の反逆者 1BOX,PK-0106,その他,198000.0,https://drive.google.com/file/d/1kfWcOtbhQWcmkojVVVIrgu_TOKwL7Re5/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_02411.webp
PK-0107,Not found,"10,000円",価格不明,価格不明,/Users/kotarokashiwai/pokeca/images/card_02041.webp
バトルパートナーズ 12BOXセット,PK-0108,その他,189600.0,https://drive.google.com/file/d/17lZmFWpEH15OhdIVs3EnyjdQGPLnO3U2/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_00108.webp
ベル PSA10,PK-0109,その他,188000.0,https://drive.google.com/file/d/1y9SFCzzezfx5e7xoZRIWsw41nHdHJN1V/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_02692.webp
光を喰らう闇 1BOX,PK-0110,その他,188000.0,https://drive.google.com/file/d/1G9ivAEjQRKBzdPnnrSKRjlmipnsb8-6S/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_11056.webp
ピカチュウ (カードフェスタ2017) PSA10,PK-0111,その他,188000.0,https://drive.google.com/file/d/1-18HdrZnty5FIwLzT3kEimV-qO-S9Erw/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_00111.webp
ホロンの幻影 1パック,PK-0112,その他,184800.0,https://drive.google.com/file/d/1xO65mz4oVJElOOHtw0v2GInl56CDoAvk/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_13083.webp
シロナ PSA10,PK-0113,その他,178000.0,https://drive.google.com/file/d/132sofwOPRV-mtBWjTLy9FOYn_Kk1Vso2/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_02368.webp
ゲンガーVMAX PSA10,PK-0114,その他,178000.0,https://drive.google.com/file/d/1OtGhutuUjTug60qm480cBsHj0uJ7_tqb/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_00114.webp
ミュウツー&ミュウGX PSA10,PK-0115,SR,178000.0,https://drive.google.com/file/d/1HVkCJuH9dwwVkmQVr-KlQu5lyqE1Hhea/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_03083.webp
リーリエ PSA10,PK-0116,プロモカード,178000.0,https://drive.google.com/file/d/1JP3CctHrOZT-xwzAqtvQU9z4wJiwIQ5P/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_03579.webp
ルザミーネ,PK-0117,SR,168000.0,https://drive.google.com/file/d/14V0SKeHnNDeQE7w_oaA8Fr0BrD2ga4az/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_52576.webp
ルザミーネ,PK-0118,SR,168000.0,https://drive.google.com/file/d/1BrcDvAE2-hNXfpmnZIy-D5B-FI5auqgM/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_10705.webp
ニンフィアVMAX PSA10,PK-0119,その他,168000.0,https://drive.google.com/file/d/1JrRxlLbKtcMICbjolCB1Lj1RiiwVu51q/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_03129.webp
ルカリオVSTAR PSA10,PK-0120,その他,168000.0,https://drive.google.com/file/d/1VY0CYLEhrDpWC0fAslkqy3V0AcmfvKtL/view?usp=drivesdk,/Users/kotarokashiwai/pokeca/images/card_01177.webp
