カテゴリー名,新コード,商品名,ランク,交換ポイント
ポケモン,A-O=N-000060,ピカチュウVMAX(RRR仕様) PSA10 ,RankS,39800
ポケモン,A-O=N-000061,ディアルガGX PSA10 ,RankS,32800
ポケモン,A-O=N-000062,ミュウV(SA) PSA10 ,RankS,30800
ポケモン,A-O=N-000063,コイキング&ホエルオーGX PSA10 ,RankS,47800
ポケモン,A-O=N-000064,TVレポーター PSA10 ,RankS,44800
ポケモン,A-O=N-000065,サトシのピカチュウ(アローラキャップver) PSA10 ,RankS,39800
ポケモン,A-O=N-000066,ピカチュウ ハス持ち PSA10 ,RankS,39800
ポケモン,A-O=N-000067,マリィのプライド PSA10 ,RankS,37800
ポケモン,A-O=N-000068,クララ PSA10 ,RankS,32800
ポケモン,A-O=N-000069,ブースターV PSA10 ,RankS,32800
ポケモン,A-O=N-000070,ニンフィアex PSA10 ,RankS,32800
ポケモン,A-O=N-000071,スノーハザード BOX ,RankA,4980
ポケモン,A-O=N-000072,未来の一閃 BOX ,RankA,4800
ポケモン,A-O=N-000073,古代の咆哮 BOX ,RankA,4600
ポケモン,A-O=N-000074,黒炎の支配者 BOX ,RankA,4200
ポケモン,A-O=N-000075,白熱のアルカナ BOX ,RankA,4000
ポケモン,A-O=N-000076,シャイニートレジャー BOX ,RankA,3600
ポケモン,A-O=N-000077,強化拡張パック バトルリージョン ,RankA,3200
ポケモン,A-O=N-000078,漆黒のガイスト BOX ,RankA,3000
ポケモン,A-O=N-000079,蒼空ストリーム BOX ,RankA,2800
ポケモン,A-O=N-000080,仰天のボルテッカー BOX ,RankA,2500
,A-O=N-000081,,,
ポケモン,A-O=N-000082,レイジングサーフ BOX,RankA,10800
ポケモン,A-O=N-000083,熱風のアリーナ BOX ,RankA,15800
ポケモン,A-O=N-000084,クリムゾンヘイズ BOX ,RankA,9480
ポケモン,A-O=N-000085,ワイルドフォース BOX ,RankA,9480
ポケモン,A-O=N-000086,変幻の仮面 BOX ,RankA,8480
ポケモン,A-O=N-000087,ナイトワンダラー BOX ,RankA,6980
ポケモン,A-O=N-000088,ステラミラクル BOX ,RankA,6980
ポケモン,A-O=N-000089,ナンジャモのハラバリーex PSA10 ,RankA,49800
ポケモン,A-O=N-000090,コイキング&ホエルオーGX PSA10 ,RankA,47800
ポケモン,A-O=N-000091,ポンチョを着たピカチュウ PSA10 ,RankA,45800
ポケモン,A-O=N-000092,紳士風のピカチュウ PSA10 ,RankA,45800
ポケモン,A-O=N-000093,ピカチュウ PSA10（プロモ）,RankA,45800
ポケモン,A-O=N-000094,TVレポーター PSA10 ,RankA,44800
ポケモン,A-O=N-000095,エリカのおもてなし PSA10（PROMO）,RankA,44800
ポケモン,A-O=N-000096,ブラッキー(マスターボールミラー) PSA10 ,RankA,42800
ポケモン,A-O=N-000097,マオ&スイレン PSA10 ,RankA,34800
ポケモン,A-O=N-000098,クララ PSA10 ,RankA,32800
ポケモン,A-O=N-000099,ミュウex SAR ,RankA,19800
ポケモン,A-O=N-000100,ピカチュウ(ポケモンセンター) PSA10 ,RankA,18800
ポケモン,A-O=N-000101,リオル PSA10 ,RankA,10800
ポケモン,A-O=N-000102,ミミッキュVMAX PSA10 ,RankA,10800
ポケモン,A-O=N-000103,アンズ PSA10 ,RankA,10800
ポケモン,A-O=N-000104,Nのゾロアークex(UR) PSA10 ,RankA,10800
ポケモン,A-O=N-000105,ガラルフリーザーV SR ,RankA,10000
ポケモン,A-O=N-000106,シルヴァディGX(SA) PSA10 ,RankA,9980
ポケモン,A-O=N-000107,フシギソウ(Classicキラ) PSA10 ,RankA,5580
ポケモン,A-O=N-000108,クロバットV PSA10 ,RankA,6080
ポケモン,A-O=N-000109,ヒノヤコマ PSA10 ,RankA,6500
ポケモン,A-O=N-000110,ディンルーex PSA10 ,RankA,6500
ポケモン,A-O=N-000111,ネンドール(25th) PSA10 ,RankA,6500
ポケモン,A-O=N-000112,キャタピー PSA10 ,RankA,7000
ポケモン,A-O=N-000113,いちげきウーラオスV SR ,RankA,5000
ポケモン,A-O=N-000114,ホワイトコレクション 1パック ,RankA,28880
ポケモン,A-O=N-000115,ブラックコレクション 1パック ,RankA,28880
ポケモン,A-O=N-000116,メガヤミラミ＆バンギラスGX PSA10 ,RankA,26800
ポケモン,A-O=N-000117,ピカチュウex(UR) PSA10 ,RankA,24800
ポケモン,A-O=N-000118,イーブイGX PSA10 ,RankA,21800
ポケモン,A-O=N-000119,ヘイルブリザード 1パック ,RankA,21800
ポケモン,A-O=N-000120,ホップのザシアンex PSA10 ,RankA,19800
ポケモン,A-O=N-000121,フシギバナ＆ツタージャGX(SA) PSA10 ,RankA,16800
ポケモン,A-O=N-000122,スペースジャグラー 1BOX ,RankA,15800
ポケモン,A-O=N-000123,蒼空ストリーム 5パック ,RankA,15000
ポケモン,A-O=N-000124,テツノカシラex SAR ,RankB,950
ポケモン,A-O=N-000125,パッチラゴンV SR ,RankB,901
ポケモン,A-O=N-000126,テツノカイナex SAR ,RankB,800
ポケモン,A-O=N-000127,シェイミVSTAR HR ,RankB,800
ポケモン,A-O=N-000128,ブラックキュレムex SR ,RankB,800
ポケモン,A-O=N-000129,レックウザV(RR仕様) プロモカード ,RankB,680
ポケモン,A-O=N-000130,モココ CHR ,RankB,640
ポケモン,A-O=N-000131,キングドラex SR ,RankB,530
ポケモン,A-O=N-000132,かがやくフシギバナ K ,RankB,520
ポケモン,A-O=N-000133,ハッサム AR ,RankB,500
ポケモン,A-O=N-000134,ミュウツーVSTAR ,RankB,3000
ポケモン,A-O=N-000135,ゼロの大空洞 ,RankB,3000
ポケモン,A-O=N-000136,キングラー(マスターボールミラー) ,RankB,2580
ポケモン,A-O=N-000137,ガラルフリーザーV ,RankB,2500
ポケモン,A-O=N-000138,オリジンディアルガVSTAR ,RankB,2500
ポケモン,A-O=N-000139,イダイナキバex ,RankB,1500
ポケモン,A-O=N-000140,ロケット団のラッタ ,RankB,1500
ポケモン,A-O=N-000141,ピィ ,RankB,1500
ポケモン,A-O=N-000142,はくばバドレックスVMAX ,RankB,1000
ポケモン,A-O=N-000143,アクロマの実験 ,RankB,1000
ポケモン,A-O=N-000144,ホワイトコレクション 1パック ,RankB,28880
ポケモン,A-O=N-000145,ファントムゲートパック,RankB,6800
ポケモン,A-O=N-000146,フュージョンアーツ 1BOX ,RankB,26800
ポケモン,A-O=N-000147,「ポケモンカード151」 1BOX ,RankB,25800
ポケモン,A-O=N-000148,サイコドライブ 1パック ,RankB,23800
ポケモン,A-O=N-000149,漆黒のガイスト 1BOX ,RankB,22800
ポケモン,A-O=N-000150,プラズマゲイル 1パック ,RankB,21800
ポケモン,A-O=N-000151,パラダイムトリガー 1BOX ,RankB,13800
ポケモン,A-O=N-000152,クレイバースト 1BOX ,RankB,12800
ポケモン,A-O=N-000153,シャイニートレジャーex 1BOX ,RankB,10800
ポケモン,A-O=N-000154,霧の水晶 UR ,RankB,4280
ポケモン,A-O=N-000155,カツラの一発勝負 SR ,RankB,4000
ポケモン,A-O=N-000156,ローラースケーター SR ,RankB,3380
ポケモン,A-O=N-000157,名探偵ピカチュウ（未開封）プロモ ,RankB,3280
ポケモン,A-O=N-000158,月明かりの丘 プロモ ,RankB,3480
ポケモン,A-O=N-000159,ピッピ（マスターボールミラー）C ,RankB,3180
ポケモン,A-O=N-000160,ゲンガーex SR ,RankB,3000
ポケモン,A-O=N-000161,ボタン SAR ,RankB,3000
ポケモン,A-O=N-000162,ヘルガー UR ,RankB,3000
ポケモン,A-O=N-000163,ピカチュウex（UR）,RankB,9380
ポケモン,A-O=N-000164,モクロー&アローラナッシーGX（SA）,RankB,9000
ポケモン,A-O=N-000165,ゼクロム25th PSA10 ,RankB,6980
ポケモン,A-O=N-000166,ウインディ（マスターボールミラー）,RankB,6980
ポケモン,A-O=N-000167,蒼空ストリーム 2パック ,RankB,6660
ポケモン,A-O=N-000168,ワタッコ PSA10 ,RankB,6500
ポケモン,A-O=N-000169,アブソル PSA10 ,RankB,6500
ポケモン,A-O=N-000170,メリープ PSA10 ,RankB,6080
ポケモン,A-O=N-000171,ダークライVSTAR PSA10 ,RankB,5480
ポケモン,A-O=N-000172,レントラーGL Lv.X（25th） PSA10 ,RankB,5080
ポケモン,A-O=N-000173,マッギョ AR ,RankC,400
ポケモン,A-O=N-000174,ロケット団エネルギー UC ,RankC,310
ポケモン,A-O=N-000175,キョジオーン S ,RankC,300
ポケモン,A-O=N-000176,プクリン S ,RankC,300
ポケモン,A-O=N-000177,シロナのパワーウエイト UC ,RankC,220
ポケモン,A-O=N-000178,ビーダル AR ,RankC,200
ポケモン,A-O=N-000179,メグロコ AR ,RankC,200
ポケモン,A-O=N-000180,バシャーモ R ,RankC,180
ポケモン,A-O=N-000181,れんげきウーラオスVMAX RRR ,RankC,110
ポケモン,A-O=N-000182,古びたねっこの化石 C ,RankC,100
ポケモン,A-O=N-000183,ラティアス ,RankC,1000
ポケモン,A-O=N-000184,デオキシス ,RankC,800
ポケモン,A-O=N-000185,アルセウスV ,RankC,780
ポケモン,A-O=N-000186,デデンネ ,RankC,640
ポケモン,A-O=N-000187,プクリンex ,RankC,580
ポケモン,A-O=N-000188,ラウドボーンex(RR仕様) ,RankC,580
ポケモン,A-O=N-000189,ケッキングex ,RankC,530
ポケモン,A-O=N-000190,テツノツツミ ,RankC,530
ポケモン,A-O=N-000191,イルカマンex ,RankC,530
ポケモン,A-O=N-000192,ハッサム ,RankC,500
ポケモン,A-O=N-000193,オリジンパルキアV(SA) ,RankA,7500
ポケモン,A-O=N-000194,カプ・テテフGX(25th) PSA10 ,RankA,6500
ポケモン,A-O=N-000195,キュウコン PSA10 ,RankA,6080
ポケモン,A-O=N-000196,ヤレユータン PSA10 ,RankA,6080
ポケモン,A-O=N-000197,オドシシ PSA10 ,RankA,6080
ポケモン,A-O=N-000198,エーテル財団職員 ,RankA,5480
ポケモン,A-O=N-000199,デデンネex PSA10 ,RankA,5980
ポケモン,A-O=N-000200,レックウザVMAX ,RankA,6000
ポケモン,A-O=N-000201,コイキング(classic) PSA10 ,RankA,5980
ポケモン,A-O=N-000202,オンバーンV ,RankA,5000
ポケモン,A-O=N-000203,ムゲンゾーン パック ,RankA,3000
ポケモン,A-O=N-000204,リミックスバウト パック ,RankC,2500
ポケモン,A-O=N-000205,スカイレジェンド パック ,RankC,2160
ポケモン,A-O=N-000206,ロケット団の栄光 パック ,RankC,2080
ポケモン,A-O=N-000207,仰天のボルテッカー パック ,RankC,1680
ポケモン,A-O=N-000208,スペースジャグラー パック ,RankC,1600
ポケモン,A-O=N-000209,一撃マスター パック ,RankC,1200
ポケモン,A-O=N-000210,ジージーエンド パック ,RankC,700
ポケモン,A-O=N-000211,ステラミラクル パック ,RankC,700
ポケモン,A-O=N-000212,かがやくルチャブル K ,RankC,90
ポケモン,A-O=N-000213,レシラムV RR ,RankD,90
ポケモン,A-O=N-000214,テツノカイナex RR ,RankD,90
ポケモン,A-O=N-000215,エンテイ R ,RankD,90
ポケモン,A-O=N-000216,ディンルーex RR ,RankD,90
ポケモン,A-O=N-000217,ガラルファイヤーV RR ,RankD,90
ポケモン,A-O=N-000218,チラーミィ C ,RankD,35
ポケモン,A-O=N-000219,ビクティニ C ,RankD,35
ポケモン,A-O=N-000220,サマヨール C ,RankD,35
ポケモン,A-O=N-000221,フラエッテ C ,RankD,35
ポケモン,A-O=N-000222,イーブイ（SM8b）,RankA,5000
ポケモン,A-O=N-000223,リーリエのピッピ人形 UR ,RankA,4000
ポケモン,A-O=N-000224,エンテイV SAR ,RankA,3000
ポケモン,A-O=N-000225,タケシのガッツ SR ,RankA,3000
ポケモン,A-O=N-000226,ポケモンだいすきクラブ SR ,RankA,2980
ポケモン,A-O=N-000227,ゲンガー＆ミミッキュGX RR ,RankA,2580
ポケモン,A-O=N-000228,カラカラ（マスターボールミラー）,RankD,2580
ポケモン,A-O=N-000229,カトレア HR ,RankD,2500
ポケモン,A-O=N-000230,メロコ SAR ,RankD,2300
ポケモン,A-O=N-000231,ルカリオVSTAR SAR ,RankD,2000
